id,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,shooting_num,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value_wide,shooting_num_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_tele,super_wide,open_year,open_month,camera_type_id
102,COOLPIX L840,32800,1602,125,6400,120,1〜1/1500 秒,3,92,590,False,True,False,チルト液晶,538,113.5,78.3,96,6,3,2,3,,,38,22.5,855,False,,False,30,レンズシフト方式,,1,6.5,False,,,1
103,HIGH SPEED EXILIM EX-100F,80869,1210,80,2560,60,1/2〜1/2000 秒,3.5,92.1,390,False,True,False,チルト液晶,390,119.9,67.9,50.5,8,9,2,2.8,,,11,28,300,True,,False,10,レンズシフト方式,,5,2.8,False,2015,8,1
104,SIGMA dp2 Quattro,84000,2900,100,6400,4.5,30〜1/2000 秒,3,92,200,False,False,False,,410,161.4,67,81.6,3,13,2,2.8,,,,45,45,False,,False,28,,,,2.8,False,2014,6,1
105,SIGMA dp1 Quattro,74100,2900,100,6400,,30〜1/2000 秒,3,92,200,False,False,False,,425,161.4,67,87.1,3,13,2,2.8,,,,28,28,False,,False,20,,,,2.8,False,2014,10,1
106,サイバーショット DSC-RX10,98200,2020,125,2560,10,1〜1/3200 秒,3,122.9,420,False,True,False,チルト液晶,813,129,88.1,102.2,5,1,4,2.8,,,8,26,220,False,,False,3,光学式,,,2.8,False,2013,11,1
107,サイバーショット DSC-W810,12500,2010,100,3200,0.52,1〜1/1500 秒,2.7,23,200,False,False,False,,127,96.8,55.5,20.9,6,1,2,3.5,,,6,26,156,False,,False,5,電子式,,,6.5,False,2014,3,1
108,FinePix S8600,25799,1600,100,6400,8,1/4〜1/1500 秒,3,46,250,False,False,False,,450,121.3,80.8,64.6,6,2,2,2.9,,,36,25,900,False,,False,40,レンズシフト方式,,7,6.9,False,2014,2,1
109,HIGH SPEED EXILIM EX-SA10 GSET,42106,1020,,,30,,,,285,False,True,False,,111,60.9,69.3,38.7,6,9,2,2.8,,,,16,16,False,1.5 m,False,10,,,,2.8,False,2016,6,1
110,PIXPRO WP1,14785,,,,,,,,190,False,False,False,,130,107.1,59.8,28,14,12,2,,,,,,,False,5 m,False,60,,,,,False,2015,4,1
111,PowerShot SX710 HS,28800,2030,80,3200,6,1〜1/3200 秒,3,92.2,230,False,True,False,,269,112.7,65.8,34.8,6,4,2,3.2,,,30,25,750,False,,False,1,光学式,,1,6.9,False,2015,2,1
112,JOY500C3,6580,,,,,1/2〜1/2000 秒,,,,False,False,False,,115,98.4,74.3,28.1,13,14,2,2.8,,,,,,False,3 m,False,150,,,,2.8,False,2017,4,1
113,PIXPRO FZ152,16740,1615,80,1600,,4〜1/2000 秒,3,23,210,False,False,False,,185,108.4,69.9,32.8,6,12,2,3.3,,,15,24,360,False,,False,60,,,3,5.9,False,,,1
114,RICOH GR,57800,1620,100,25600,4,300〜1/4000 秒,3,123,290,False,False,False,,245,117,61,34.7,3,7,2,2.8,,,,28,28,False,,False,30,,,10,2.8,False,2013,5,1
115,V-LUX Typ 114,174400,2010,80,2500,50,60〜1/4000 秒,3,92.1,,True,True,False,バリアングル液晶,830,137,98.5,130.7,5,8,24,2.8,,,16,25,400,False,,False,30,,,3,4,False,2014,10,1
116,COOLPIX S2900,15255,2005,80,3200,1.1,1〜1/2000 秒,2.7,23,250,False,False,False,,119,94.5,58.6,19.8,6,3,2,3.2,,,5,26,130,False,,False,50,,,10,6.5,False,2015,2,1
117,HIGH SPEED EXILIM EX-ZR1000,28000,1610,80,2560,30,1/4〜1/2000 秒,3,46,470,False,False,False,チルト液晶,255,107.5,61.5,36.7,6,9,2,3,,,12,24,300,True,,False,5,CMOSシフト方式,,1,5.9,False,2012,11,1
118,OLYMPUS STYLUS SH-2,39980,1600,125,6400,60,1/4〜1/2000 秒,3,46,380,False,True,True,,271,108.8,63.2,42.4,6,5,2,3,,,24,25,600,False,,False,10,CMOSシフト方式,,,6.9,False,2015,4,1
119,PowerShot G3 X EVF KIT,106165,2020,125,12800,5.9,1〜1/2000 秒,3.2,162,300,False,True,True,チルト液晶,733,123.3,76.5,105.3,5,4,2,2.8,,,25,24,600,False,,False,5,光学式,,5,5.6,False,,,1
120,PowerShot G9 X,52614,2020,125,12800,6,1〜1/2000 秒,3,104,220,False,True,True,,209,98,57.9,30.8,5,4,2,2,,,3,28,84,False,,False,5,光学式,,5,4.9,False,2015,10,1
121,COOLPIX S9400,21660,1811,125,320,7.5,1〜1/1500 秒,,,230,False,False,False,,200,110.1,60.3,30.7,6,3,2,3.4,,,18,25,450,False,,False,50,レンズシフト方式/電子式,,1,6.3,False,2013,2,1
122,EXILIM EX-ZS28,10200,1610,100,1600,,1/2〜1/2000 秒,2.7,23,180,False,False,False,,133,96.3,56.2,20.6,6,9,2,3.5,,,6,26,156,False,,False,5,,,5,6.5,False,2016,2,1
123,Gear 360(2017) SM-R210NZWAXJP,30770,,,,,,,,,True,True,False,,130,46.3,100.6,45.1,12,18,2,2.2,,,,,,False,,False,,,,,2.2,True,2017,6,1
124,GH-TCAM30PG,2354,,,,,,,,311,False,False,False,,24,60,43,30,11,16,2,,,,,,,False,,False,100,,,,,False,2011,8,1
125,HIGH SPEED EXILIM EX-ZR1100,30000,1610,80,2560,30,1/4〜1/2000 秒,3,92.1,470,False,False,False,チルト液晶,256,107.5,61.5,36.7,6,9,2,3,,,12,24,300,True,,False,5,CMOSシフト方式,,1,5.9,False,2013,9,1
126,HIGH SPEED EXILIM EX-ZR1750,31440,1610,80,2560,30,1/4〜1/2000 秒,3,92.1,455,False,True,False,チルト液晶,242,108.3,61.5,33.6,6,9,2,3.5,,○,18,25,450,True,,False,4,レンズシフト方式,,4,5.9,False,2016,2,1
127,PowerShot SX610 HS,24800,2020,80,3200,7.2,1〜1/2000 秒,3,92.2,270,False,True,False,,191,105.3,61,26.7,6,4,2,3.8,,,18,25,450,False,,False,5,光学式,,5,6.9,False,2015,2,1
128,t1235,15984,,,,,,,,,False,False,False,,,,,,14,19,2,,,,,,,False,,False,,,,,,False,2010,3,1
129,サイバーショット DSC-QX10,26000,1820,100,12800,,1〜1/1600 秒,,,220,False,True,False,,105,62.4,61.8,33.3,6,1,2,3.3,,,10,25,250,False,,False,5,光学式,,,5.9,False,2013,10,1
130,サイバーショット DSC-QX100,56800,2020,160,25600,,1〜1/2000 秒,,,220,False,True,False,,179,62.5,62.5,55.5,5,1,2,1.8,,,4,28,100,False,,False,5,光学式,,,4.9,False,2013,10,1
131,BCC100,30780,,,,,,,,,False,False,False,,120,64,106,46,14,15,2,1.2,,,,18,18,False,,False,30,,,,1.2,False,,,1
132,DSC Pieni Cheese,3080,131,1,0,,1/100 秒,,,,False,False,False,,16,46,30,24,10,10,23,2.8,,,,,,False,,False,30,,,,2.8,False,2017,12,1
133,EXILIM EX-FR200CA,43056,1195,,,,,,,,False,True,False,,100,60.9,60.9,40.7,6,9,2,2.8,,○,,13,13,False,1.5 m,False,,,,,2.8,False,2016,9,1
134,i.mega HDC-1471,18360,1400,100,3200,,1〜1/2000 秒,3,46,180,False,False,False,,134,97.5,57,19.7,6,17,2,3,,,7,28,196,False,,False,60,イメージセンサーシフト方式,,20,5.9,False,,,1
135,PowerShot SX210 IS,19350,1410,80,640,0.7,1〜1/3200 秒,3,23,260,False,False,False,,215,105.8,59.3,31.9,6,4,2,3.1,,,14,28,392,False,,False,5,光学式,,5,5.9,False,2010,3,1
136,SIGMA dp0 Quattro LCD ビューファインダーキット,94610,2900,100,6400,4.5,30〜1/2000 秒,3,92,200,False,False,False,,500,161.4,67,126,3,13,25,4,,,,21,21,False,,False,18,,,,4,False,2015,7,1
137,SIGMA dp1 Quattro LCDビューファインダーキット,95870,2900,100,6400,4.5,30〜1/2000 秒,3,92,200,False,False,False,,425,161.4,67,87.1,3,13,25,2.8,,,,28,28,False,,False,20,,,,2.8,False,2016,3,1
138,SIGMA dp3 Quattro LCDビューファインダーキット,93220,2900,100,6400,4.5,30〜1/2000 秒,3,92,200,False,False,False,,465,161.4,67,101.8,3,13,25,2.8,,,,75,75,False,,False,6,,,,2.8,False,2016,3,1
139,TLC120,36293,,,,,,,,,False,True,False,,101,60,60,33.5,14,15,2,2,,○,,19,19,False,,False,40,,,,2,False,,,1
140,EOS Kiss M ボディ,57380,2410,,5120,10,1/4000〜30 秒,3,104,235,True,True,True,バリアングル液晶,354,116.3,88.1,58.7,3,4,26,,235,Bluetooth 4.1,,,,True,,False,,,False,,,False,2018,3,2
141,α7 III ILCE-7M3 ボディ,219800,2420,,20480,10,1/8000〜30 秒,3,92.1,710,True,True,True,チルト可動式液晶,565,126.9,95.6,73.7,2,1,27,,610,Bluetooth 4.1,,,,False,○,False,,○,True,,,False,2018,3,2
142,α6000 ILCE-6000 ボディ,47013,2430,,,11,1/4000〜30 秒,3,92.1,360,False,True,False,チルト可動式液晶,285,120,66.9,45.1,3,1,31,,310,,,,,False,,False,,,False,,,False,2014,3,2
143,LUMIX DC-G9 ボディ,129688,2033,,10,60,1/32000〜60 秒,3,104,380,True,True,True,フリーアングル,586,136.9,97.3,91.6,4,6,29,,360,Bluetooth 4.2,,,,True,○,False,,○,True,,,False,2018,1,2
144,Z 7 ボディ,392895,4575,,102400,5.5,1/8000〜30 秒,3.2,210,400,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,330,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,9,2
145,LUMIX DC-GF9W ダブルレンズキット,51200,1600,,10,10,1/16000〜60 秒,3,104,210,True,True,True,チルト式,239,106.5,64.6,33.3,4,6,2,,,,,,,True,,False,,,False,,,False,2017,1,2
146,EOS R ボディ,230850,3030,,10240,8,1/8000〜30 秒,,,370,True,True,True,バリアングル液晶,580,135.8,98.3,84.4,2,4,28,,350,Bluetooth 4.1,,,,True,○,False,,,False,,,False,2018,10,2
147,α7R III ILCE-7RM3 ボディ,293533,4240,,10240,10,1/8000〜30 秒,3,144,650,True,True,True,チルト可動式液晶,572,126.9,95.6,73.7,2,1,32,,530,,,,,False,○,False,,○,True,,,False,2017,11,2
148,α7 II ILCE-7M2 ボディ,109999,2430,,5120,5,1/8000〜30 秒,3,122.8,350,False,True,False,チルト可動式液晶,556,126.9,95.7,59.7,2,1,27,,270,,,,,False,○,False,,○,True,,,False,2014,12,2
149,OM-D E-M10 Mark II ボディ,35800,1605,,2560,8.5,1/16000〜60 秒,3,104,320,False,True,True,可動式液晶,351,119.5,83.1,46.7,4,5,33,,,,,,,False,,False,,○,True,,,False,2015,9,2
150,FUJIFILM X-T3 ボディ,175033,2610,,5120,30,1/32000〜900 秒,3,104,390,True,True,True,チルト式液晶,489,132.5,92.8,58.8,3,2,30,,370,Bluetooth 4.2,,,,False,○,False,,,False,,,False,2018,9,2
151,LUMIX DMC-G8 ボディ,76464,1600,,10,40,1/16000～60 秒,3,104,330,True,True,True,フリーアングル,453,128.4,89,74.3,4,6,29,,320,,,,,True,○,False,,○,True,,,False,2016,10,2
152,OM-D E-M10 Mark III ボディ,63791,1605,,2560,8.6,1/16000〜60 秒,3,104,330,True,True,True,可動式液晶,362,121.5,83.6,49.5,4,5,33,,,,,,,False,,False,,○,True,,,False,2017,9,2
153,LUMIX DMC-GX7MK2 ボディ,48859,1600,,10,40,1/16000〜60 秒,3,104,,True,True,True,チルト式,383,122,70.6,43.9,4,6,34,,,,,,,False,,False,,○,True,,,False,2016,5,2
154,FUJIFILM X-T100 ボディ,51590,2424,,5120,6,1/32000〜30 秒,3,104,430,True,True,True,チルト式液晶,399,121,83,47.4,3,2,30,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2018,6,2
155,α6500 ILCE-6500 ボディ,105263,2420,,5120,11,1/4000〜30 秒,3,92.1,350,True,True,True,チルト可動式液晶,410,120,66.9,53.3,3,1,27,,310,Bluetooth 4.1,,,,False,○,False,,○,True,,,False,2016,12,2
156,FUJIFILM X-H1 ボディ,194780,2430,,5120,14,1/32000〜900 秒,3,104,310,True,True,True,チルト式液晶,623,139.8,97.3,85.5,3,2,30,,,Bluetooth 4.0,,,,False,○,False,,○,True,,,False,2018,3,2
157,Z 7 24-70+FTZ マウントアダプターキット,480826,4575,,102400,5.5,1/8000〜30 秒,3.2,210,400,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,330,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,9,2
158,FUJIFILM X-T20 ボディ,71242,2430,,5120,14,1/32000〜30 秒,3,104,350,True,True,True,チルト式液晶,333,118.4,82.8,41.4,3,2,30,,,,,,,False,,False,,,False,,,False,2017,2,2
159,FUJIFILM X-Pro2 ボディ,134470,2430,,5120,8,1/32000〜30 秒,3,162,280,False,True,False,,445,140.5,82.8,45.9,3,2,35,,250,,,,,False,○,False,,,False,,,False,2016,3,2
160,α6300 ILCE-6300 ボディ,70999,2420,,5120,11,1/4000〜30 秒,3,92.1,400,True,True,False,チルト可動式液晶,361,120,66.9,48.8,3,1,27,,350,,,,,False,○,False,,,False,,,False,2016,3,2
161,OLYMPUS PEN E-PL9 ボディ,60677,1605,,2560,14.1,1/16000〜60 秒,3,104,350,True,True,True,可動式液晶,332,117.1,68,39,4,5,2,,,Bluetooth 4.0,,,,True,,False,,○,False,,,False,2018,3,2
162,OLYMPUS PEN E-PL8 ボディ,35800,1605,,2560,8.5,1/4000〜60 秒,3,104,350,False,True,True,可動式液晶,326,117.1,68.3,38.4,4,5,2,,,,,,,True,,False,,○,False,,,False,2016,11,2
163,FUJIFILM X-T2 ボディ,108894,2430,,5120,14,1/32000〜30 秒,3,104,340,True,True,False,チルト式液晶,457,132.5,91.8,49.2,3,2,30,,330,,,,,False,○,False,,,False,,,False,2016,9,2
164,α7R II ILCE-7RM2 ボディ,191534,4240,,10240,5,1/8000〜30 秒,3,122.8,340,True,True,False,チルト可動式液晶,582,126.9,95.7,60.3,2,1,27,,290,,,,,False,○,False,,○,True,,,False,2015,8,2
165,EOS M100 ボディ,39631,2420,,,6.1,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,266,108.2,67.1,35.1,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,10,2
166,α9 ILCE-9 ボディ,355379,2420,,20480,20,1/32000〜30 秒,3,144,650,True,True,True,チルト可動式液晶,588,126.9,95.6,63,2,1,32,,480,Bluetooth 4.1,,,,False,○,False,,○,True,,,False,2017,5,2
167,OLYMPUS OM-D E-M5 Mark II ボディ,69245,1605,,2560,10,1/8000〜60 秒,3,104,310,False,True,True,バリアングル液晶,417,123.7,85,44.5,4,5,37,,,,,,,True,○,False,,○,True,,,False,2015,2,2
168,OM-D E-M1 Mark II 12-40mm F2.8 PROキット,200823,2037,,2560,60,1/32000〜60 秒,3,104,440,True,True,True,2軸可動式液晶,498,134.1,90.9,68.9,4,5,37,,,,,,,True,○,False,,○,True,,,False,2018,6,2
169,LUMIX DMC-GX7MK2-K ボディ [ブラック],49500,1600,,10,40,1/16000〜60 秒,3,104,,True,True,True,チルト式,383,122,70.6,43.9,4,6,34,,,,,,,False,,False,,○,True,,,False,2016,5,2
170,LUMIX DC-GX7MK3 ボディ,83520,2030,,10,9,1/16000〜60 秒,3,124,260,True,True,True,チルト式,407,124,72.1,46.8,4,6,34,,250,Bluetooth 4.2,,,,False,,False,,○,True,,,False,2018,3,2
171,α5100 ILCE-5100 ボディ,41742,2430,,,6,1/4000〜30 秒,3,92.1,400,False,True,True,チルト可動式液晶,224,109.6,62.8,35.7,3,1,2,,,,,,,True,,False,,,False,,,False,2014,9,2
172,FUJIFILM X-T2 レンズキット,143799,2430,,5120,14,1/32000〜30 秒,3,104,340,True,True,False,チルト式液晶,457,132.5,91.8,49.2,3,2,30,,330,,,,,False,○,False,,,False,,,False,2016,9,2
173,FUJIFILM X-A5 ボディ,37480,2424,,5120,6,1/32000〜30 秒,3,104,450,True,True,True,チルト式液晶,311,116.9,66.7,40.4,3,2,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2018,2,2
174,OM-D E-M1 Mark II ボディ,171800,2037,,2560,60,1/32000～60 秒,3,104,440,True,True,True,2軸可動式液晶,498,134.1,90.9,68.9,4,5,37,,,,,,,True,○,False,,○,True,,,False,2016,12,2
175,FUJIFILM X-E3 ボディ,74679,2430,,5120,14,1/32000〜900 秒,3,104,350,True,True,True,,287,121.3,73.9,42.7,3,2,30,,350,Bluetooth 4.0,,,,False,,False,,,False,,,False,2017,9,2
176,Z 6 ボディ,245430,2450,,204800,5.5,1/8000〜30 秒,3.2,210,380,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,310,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,11,2
177,LUMIX DC-GH5 ボディ,179483,2033,,10,12,1/16000〜60 秒,3.2,162,410,True,True,True,フリーアングル,645,138.5,98.1,87.4,4,6,29,,400,Bluetooth 4.2,,,,True,○,False,,○,True,,,False,2017,3,2
178,LUMIX DC-GF10W ダブルレンズキット,68500,1600,,10,10,1/16000〜60 秒,3,104,210,True,True,True,チルト式,240,106.5,64.6,33.3,4,6,2,,,,,,,True,,False,,,False,,,False,2018,2,2
179,EOS M6 ダブルズームキット,67631,2420,,,9,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,343,112,68,44.5,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,4,2
180,Z 6 24-70+FTZ マウントアダプターキット,332910,2450,,204800,5.5,1/8000〜30 秒,3.2,210,380,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,310,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,11,2
181,Z 7 24-70 レンズキット,461700,4575,,102400,5.5,1/8000〜30 秒,3.2,210,400,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,330,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,9,2
182,Z 7 FTZ マウントアダプターキット,413098,4575,,102400,5.5,1/8000〜30 秒,3.2,210,400,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,330,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,9,2
183,OLYMPUS PEN-F ボディ,107703,2030,,2560,10,1/16000〜60 秒,3,104,330,False,True,True,バリアングル液晶,373,124.8,72.1,37.3,4,5,33,,,,,,,True,,False,,○,True,,,False,2016,2,2
184,LUMIX DC-GH5S ボディ,248480,1028,,20480,12,1/16000〜60 秒,3.2,162,440,True,True,True,フリーアングル,580,138.5,98.1,87.4,4,6,29,,410,Bluetooth 4.2,,,,True,○,False,,,False,,,False,2018,1,2
185,EOS M5 ボディ,74800,2420,,,9,1/4000〜30 秒,3.2,162,295,False,True,True,チルト式液晶,380,115.6,89.2,60.6,3,4,26,,295,Bluetooth 4.1,,,,True,,False,,,False,,,False,2016,11,2
186,LUMIX DMC-GX8 ボディ,71064,2030,,10,40,1/16000〜60 秒,3,104,330,True,True,True,フリーアングル,435,133.2,77.9,63.1,4,6,29,,310,,,,,False,○,False,,○,False,,,False,2015,8,2
187,Nikon 1 J5 標準パワーズームレンズキット,42000,2081,,,60,1/16000〜30 秒,3,104,250,True,True,True,チルト式液晶,231,98.3,59.7,31.5,5,3,2,,,,,,,True,,False,,,False,,,False,2015,4,2
188,α7S II ILCE-7SM2 ボディ,226475,1220,,40960,5,1/8000〜30 秒,3,122.8,370,True,True,False,チルト可動式液晶,584,126.9,95.7,60.3,2,1,27,,310,,,,,False,○,False,,○,True,,,False,2015,10,2
189,FUJIFILM X-T2 Graphite Silver Edition,163350,2430,,5120,14,1/32000〜30 秒,3,104,340,True,True,False,チルト式液晶,457,132.5,91.8,49.2,3,2,30,,330,,,,,False,○,False,,,False,,,False,2017,2,2
190,FUJIFILM X-A3 レンズキット,45799,2420,,2560,6,1/32000〜30 秒,3,104,410,False,True,True,チルト式液晶,290,116.9,66.9,40.4,3,2,2,,,,,,,True,,False,,,False,,,False,2016,11,2
191,α7R ILCE-7R ボディ,88172,3640,,5120,4,1/8000〜30 秒,3,92.1,340,False,True,False,チルト可動式液晶,407,126.9,94.4,48.2,2,1,27,,270,,,,,False,○,False,,,False,,,False,2013,11,2
192,Z 6 24-70 レンズキット,313470,2450,,204800,5.5,1/8000〜30 秒,3.2,210,380,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,310,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,11,2
193,EOS M10 ボディ,29687,1800,,2560,4.6,1/4000〜30 秒,3,104,255,False,True,True,チルト式液晶,265,108,66.6,35,3,4,2,,,,,,,True,,False,,,False,,,False,2015,10,2
194,Z 6 FTZ マウントアダプターキット,264870,2450,,204800,5.5,1/8000〜30 秒,3.2,210,380,True,True,True,チルト式液晶,585,134,100.5,67.5,2,3,36,,310,Bluetooth 4.2,,,,False,○,False,,○,True,,,False,2018,11,2
195,FUJIFILM GFX 50S ボディ,723654,5140,,10240,3,1/16000〜3600 秒,3.2,236,400,False,True,True,チルト式液晶,740,147.5,94.2,91.4,1,2,30,,,,,,,False,○,False,,,False,,,False,2017,2,2
196,α7S ILCE-7S ボディ,159600,1220,,40960,5,1/8000〜30 秒,3,92.1,380,False,True,False,チルト可動式液晶,446,126.9,94.4,48.2,2,1,27,,320,,,,,False,○,False,,,False,,,False,2014,6,2
197,Nikon 1 J5 ボディ,35600,2081,,,60,1/16000〜30 秒,3,104,250,True,True,True,チルト式液晶,231,98.3,59.7,31.5,5,3,2,,,,,,,True,,False,,,False,,,False,2015,4,2
198,OLYMPUS OM-D E-M10 ボディ,22800,1605,,2560,8,1/4000～60 秒,3,104,320,False,True,True,可動式液晶,350,119.1,82.3,45.9,4,5,38,,,,,,,False,,False,,○,False,,,False,2014,2,2
199,Nikon 1 J5 ダブルズームレンズキット,59800,2081,,,60,1/16000〜30 秒,3,104,250,True,True,True,チルト式液晶,231,98.3,59.7,31.5,5,3,2,,,,,,,True,,False,,,False,,,False,2015,4,2
200,EOS M6 ボディ,56800,2420,,,9,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,343,112,68,44.5,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,4,2
201,α7 ILCE-7 ボディ,96020,2430,,5120,5,1/8000〜30 秒,3,92.1,340,False,True,False,チルト可動式液晶,416,126.9,94.4,48.2,2,1,27,,270,,,,,False,○,False,,,False,,,False,2013,11,2
202,FUJIFILM X-T1 Graphite Silver Edition,46224,1630,,5120,8,1/32000〜1/4 秒,3,104,350,False,True,False,チルト式液晶,390,129,89.8,46.7,3,2,30,,,,,,,False,○,False,,,False,,,False,2014,11,2
203,LUMIX DC-GF90W ダブルレンズキット,67800,1600,,10,10,1/16000〜60 秒,3,104,210,True,True,True,チルト式,240,106.5,64.6,33.3,4,6,2,,,,,,,True,,False,,,False,,,False,2018,2,2
204,FUJIFILM X-E2 ボディ,46979,1630,,2560,7,1/4000〜30 秒,3,104,350,False,True,False,,300,129,74.9,37.2,3,2,30,,,,,,,False,,False,,,False,,,False,2013,11,2
205,FUJIFILM X-A1 ボディ,27999,1630,,2560,5.6,1/4000〜30 秒,3,92,350,False,True,False,チルト式液晶,280,116.9,66.5,39,3,2,2,,,,,,,False,,False,,,False,,,False,2013,11,2
206,FUJIFILM X-E1 ボディ,29700,1630,,2560,6,1/4000〜30 秒,2.8,46,350,False,False,False,,300,129,74.9,38.3,3,2,30,,,,,,,False,,False,,,False,,,False,2012,11,2
