id,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,shooting_num,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value_wide,shooting_num_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_tele,super_wide,open_year,open_month,camera_type_id
207,EOS M3 EF-M18-55 IS STM レンズキット,44999,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2015,3,2
208,ライカSL Typ 601 ボディ,820800,,,,11,1/8000〜60 秒,,,400,True,True,True,,771,,,,2,8,40,,,,,,,False,○,True,,,False,,,False,2015,11,2
209,EOS M6 EF-M18-150 IS STM レンズキット,80779,2420,,,9,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,343,112,68,44.5,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,4,2
210,ライカCL ボディ,348840,2424,,,30,1/25000〜30 秒,3,104,220,True,True,True,,353,131,78,45,3,8,39,,,,,,,False,,False,,,False,,,False,2017,12,2
211,EOS M6 EF-M15-45 IS STM レンズキット,70000,2420,,,9,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,343,112,68,44.5,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,4,2
212,OLYMPUS PEN Lite E-PL7 ボディ,32780,1605,,2560,8,1/4000〜60 秒,3,104,350,False,True,True,チルト可動式,309,114.9,67,38.4,4,5,2,,,,,,,True,,False,,○,False,,,False,2014,9,2
213,SIGMA sd Quattro H ボディ,107870,3860,,,6.2,1/4000〜30 秒,3,162,187,False,False,False,,,147,95.1,90.8,3,13,39,,,,,,,False,○,False,,,False,,,False,2016,12,2
214,SIGMA sd Quattro ボディ,63610,2950,,,4.3,1/4000〜30 秒,3,162,,False,False,False,,625,147,95.1,90.8,3,13,39,,,,,,,False,○,False,,,False,,,False,2016,7,2
215,EOS M3 ダブルレンズキット,69800,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2015,3,2
216,FUJIFILM X-Pro1 ボディ,80000,1630,,2560,6,1/4000〜30 秒,3,123,300,False,False,False,,400,139.5,81.8,42.5,3,2,41,,,,,,,False,,False,,,False,,,False,2012,2,2
217,LUMIX DMC-GF7W ダブルズームレンズキット,64800,1600,,10,40,1/16000〜60 秒,3,104,230,False,True,True,チルト式,236,106.5,64.6,33.3,4,6,2,,,,,,,True,,False,,,False,,,False,2015,2,2
218,PENTAX Q10 ボディ,9900,1240,,,5,1/2000〜30 秒,3,46,270,False,False,False,,180,102,58,33.5,6,20,2,,,,,,,False,,False,,○,False,,,False,2012,10,2
219,EOS M ボディ,,1800,,2560,4.3,1/4000〜30 秒,3,104,230,False,False,True,,262,108.6,66.5,32.3,3,4,2,,,,,,,False,,False,,,False,,,False,2012,10,2
220,EOS M3 EF-M15-45 IS STM レンズキット,49500,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2016,3,2
221,EOS M3 ボディ,35800,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2015,3,2
222,EOS M6 ダブルズームEVFキット,99800,2420,,,9,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,343,112,68,44.5,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,4,2
223,FUJIFILM X-A2 ボディ,18800,1630,,2560,5.6,1/4000〜30 秒,3,92,410,False,True,False,チルト式液晶,300,116.9,66.5,40.4,3,2,2,,,,,,,True,,False,,,False,,,False,2015,2,2
224,FUJIFILM X-T1 ボディ,74800,1630,,5120,8,1/4000〜30 秒,3,104,350,False,True,False,チルト式液晶,390,129,89.8,46.7,3,2,30,,,,,,,False,○,False,,,False,,,False,2014,2,2
225,FUJIFILM X-T10 ボディ,59800,1630,,5120,8,1/32000〜30 秒,3,92,350,False,True,False,チルト式液晶,331,118.4,82.8,40.8,3,2,30,,,,,,,False,,False,,,False,,,False,2015,6,2
226,X1D エクスペリエンス・パッケージ [Silver],1388394,,,,,1/2000〜 秒,3,92,,False,True,True,,,150,98,71,1,21,42,,,,,,,False,,True,,,False,,,False,2018,4,2
227,X1D-50c ボディ,1108080,,,,,1/2000〜 秒,3,92,,False,True,True,,,150.4,98.1,71.4,1,21,42,,,,,,,False,,True,,,False,,,False,,,2
228,FUJIFILM X-M1 ボディ,32800,1630,,2560,5.6,1/4000〜30 秒,3,92,350,False,True,False,チルト式液晶,280,116.9,66.5,39,3,2,2,,,,,,,False,,False,,,False,,,False,2013,9,2
229,Nikon 1 AW1 ボディ,59802,1425,,,60,1/16000〜30 秒,3,92,250,False,False,False,,313,113.3,71.5,37.5,5,3,2,,,,,,,False,○,True,,,False,,,False,2013,10,2
230,OLYMPUS OM-D E-M1 ボディ [ブラック],39800,1628,,2560,10,1/8000〜60 秒,3,104,350,False,True,True,可動式液晶,443,130.4,93.5,63.1,4,5,37,,,,,,,False,○,False,,○,True,,,False,2013,10,2
231,OLYMPUS OM-D E-M5 Mark II ボディ [ブラック],69697,1605,,2560,10,1/8000〜60 秒,3,104,310,False,True,True,バリアングル液晶,417,123.7,85,44.5,4,5,37,,,,,,,True,○,False,,○,True,,,False,2015,2,2
232,ライカTL2 ボディ,256500,,,,20,1/40000〜30 秒,3.7,130,250,True,True,True,,355,134,69,33,3,8,2,,,,,,,False,,False,,,False,,,False,2017,8,2
233,OLYMPUS PEN E-P5 ボディ,60329,1605,,2560,9,1/8000～60 秒,3,104,400,False,True,True,可動式液晶,366,122.3,68.9,37.2,4,5,2,,,,,,,False,,False,,○,False,,,False,2013,6,2
234,PENTAX Q7 ボディ [ブラック],,1240,,,5,1/2000～30 秒,3,46,260,False,False,False,,180,102,58,33.5,14,20,2,,,,,,,False,,False,,○,False,,,False,2013,7,2
235,EOS M3 クリエイティブマクロレンズキット,69800,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2016,7,2
236,EOS M3 ダブルレンズキット2,65800,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2016,3,2
237,FUJIFILM X-T1 F X-T1B/1855KIT レンズキット,123768,1630,,5120,8,1/4000〜30 秒,3,104,350,False,True,False,チルト式液晶,390,129,89.8,46.7,3,2,30,,,,,,,False,○,False,,,False,,,False,2014,2,2
238,LUMIX DMC-GF6 ボディ,49800,1600,,2560,20,1/4000〜60 秒,3,104,,False,True,True,可動式,281,111.2,64.8,38.4,4,6,2,,,,,,,True,,False,,,False,,,False,2013,4,2
239,OLYMPUS OM-D E-M5 ボディ,21300,1605,,2560,9,1/4000〜60 秒,3,61,360,False,False,True,チルト可動式,373,121,89.6,41.9,4,5,38,,,,,,,False,○,False,,○,False,,,False,2012,3,2
240,α NEX-6 ボディ,50000,1610,,,10,1/4000〜30 秒,3,92.1,360,False,True,False,チルト可動式液晶,287,119.9,66.9,42.6,3,1,27,,270,,,,,False,,False,,,False,,,False,2012,11,2
241,ライカT ボディ,235440,1630,,,5,1/4000〜30 秒,3.7,130,400,False,True,True,,339,134,69,33,3,8,2,,,,,,,False,,False,,,False,,,False,,,2
242,EOS M3 ボディ EVFキット,57966,2420,,2560,4.2,1/4000〜30 秒,3,104,250,False,True,True,チルト式液晶,319,110.9,68,44.4,3,4,2,,,,,,,True,,False,,,False,,,False,2015,3,2
243,EOS M6 EF-M18-150 IS STM レンズEVFキット,109800,2420,,,9,1/4000〜30 秒,3,104,295,False,True,True,チルト式液晶,343,112,68,44.5,3,4,2,,,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,4,2
244,LUMIX DMC-GH4 ボディ,69800,1605,,10,40,1/8000〜60 秒,3,104,530,True,True,True,フリーアングル,480,132.9,93.4,83.9,4,6,29,,,,,,,False,○,False,,,False,,,False,2014,4,2
245,α NEX-3NY ダブルズームレンズキット,56000,1610,,,4,1/4000〜30 秒,3,46,480,False,False,False,チルト可動式液晶,210,109.9,62,34.6,3,1,2,,,,,,,True,,False,,,False,,,False,2013,3,2
246,LUMIX DMC-GM1SK レンズキット,82080,1600,,10,40,1/16000〜60 秒,3,104,230,False,True,True,,173,98.5,54.9,30.4,4,6,2,,,,,,,False,,False,,,False,,,False,2014,11,2
247,OLYMPUS PEN E-P3 ボディ,69505,1230,,,3,1/4000〜60 秒,3,61,330,False,False,True,,321,122,69.1,34.3,4,5,2,,,,,,,False,,False,,○,False,,,False,2011,7,2
248,OLYMPUS PEN E-P5 14-42mm レンズキット,65900,1605,,2560,9,1/8000～60 秒,3,104,400,False,True,True,可動式液晶,366,122.3,68.9,37.2,4,5,2,,,,,,,False,,False,,○,True,,,False,2013,6,2
249,OLYMPUS PEN Lite E-PL6 EZ ダブルズームキット,59800,1605,,2560,8,1/4000〜60 秒,3,46,360,False,False,True,チルト＆リバース式液晶,279,110.5,63.7,38.2,4,5,2,,,,,,,True,,False,,○,False,,,False,2014,5,2
250,ライカTL ボディ,225720,1630,,,5,1/4000〜30 秒,3.7,130,400,False,True,True,,339,134,69,33,3,8,2,,,,,,,False,,False,,,False,,,False,2016,11,2
251,EOS 5D Mark IV ボディ,244000,3040,,10240,7,1/8000～30 秒,3.2,162,300,True,True,True,,800,150.7,116.4,75.9,2,4,43,,900,,,,,False,○,True,,,False,,,False,2016,9,3
252,D850 ボディ,318177,4575,,102400,7,1/8000〜30 秒,3.2,236,,True,True,True,チルト式液晶,915,146,124,78.5,2,3,43,,1840,Bluetooth 4.1,,,,False,○,False,,,False,,,False,2017,9,3
253,EOS 6D Mark II ボディ,138460,2620,,10240,6.5,1/4000〜30 秒,3,104,380,False,True,True,バリアングル液晶,685,144,110.5,74.8,2,4,43,,1200,Bluetooth 4.1,,,,True,○,True,,,False,,,False,2017,8,3
254,D5600 ボディ,62000,2416,,,5,1/4000〜30 秒,3.2,104,,False,True,True,バリアングル液晶,415,124,97,70,3,3,44,,970,Bluetooth 4.1,,,,True,,False,,,False,,,False,2016,11,3
255,EOS Kiss X9 ボディ,54870,2420,,5120,5,1/4000〜30 秒,3,104,290,False,True,True,バリアングル液晶,406,122.4,92.6,69.8,3,4,45,,840,Bluetooth 4.1,,,,True,,False,,,False,,,False,2017,7,3
256,D500 ボディ,142137,2088,,1640000,10,1/8000〜30 秒,3.2,236,,True,True,True,チルト式液晶,760,147,115,81,3,3,43,,1240,Bluetooth 4.1,,,,False,○,False,,,False,,,False,2016,4,3
257,EOS Kiss X9i ボディ,81000,2420,,5120,6,1/4000〜30 秒,3,104,270,False,True,True,バリアングル液晶,485,131,99.9,76.2,3,4,45,,600,Bluetooth 4.1,,,,False,,False,,,False,,,False,2017,4,3
258,D5300 ボディ,29800,2416,,25600,5,1/4000〜30 秒,3.2,104,,False,True,False,バリアングル液晶,480,125,98,76,3,3,44,,600,,,,,True,,True,,,False,,,False,2013,11,3
259,EOS 80D ボディ,79260,2420,,2560,7,1/8000〜30 秒,3,104,340,False,True,True,バリアングル液晶,650,139,105.2,78.5,3,4,43,,1390,,,,,False,○,False,,,False,,,False,2016,3,3
260,D750 ボディ,127760,2432,,51200,6.5,1/4000～30 秒,3.2,122.9,,False,True,False,チルト式液晶,750,140.5,113,78,2,3,43,,1230,,,,,False,○,False,,,False,,,False,2014,9,3
261,D7500 ボディ,91692,2088,,1640000,8,1/8000〜30 秒,3.2,92.2,,True,True,True,チルト式液晶,640,135.5,104,72.5,3,3,43,,950,Bluetooth 4.1,,,,False,○,False,,,False,,,False,2017,6,3
262,D810 ボディ,184039,3635,,51200,6,1/8000〜30 秒,3.2,122.9,,False,False,False,,880,146,123,81.5,2,3,43,,1200,,,,,False,○,False,,,False,,,False,2014,7,3
263,PENTAX KP ボディ,84999,2432,,,7,1/24000〜30 秒,3,92.1,,False,True,False,チルト式液晶,643,131.5,101,76,3,20,43,,420,,,,,False,○,False,,○,True,,,False,2017,2,3
264,D7200 ボディ,70973,2416,,102400,7,1/8000〜30 秒,3.2,122.9,,False,True,False,,675,135.5,106.5,76,3,3,43,,1110,,,,,False,○,False,,,False,,,False,2015,3,3
265,EOS 7D Mark II ボディ,107800,2020,,5120,10,1/8000〜30 秒,3,104,270,False,False,False,,820,148.6,112.4,78.2,3,4,43,,800,,,,,False,○,True,,,False,,,False,2014,10,3
266,D5 XQD-Type ボディ,479617,2082,,3280000,14,1/8000〜30 秒,3.2,236,,True,False,True,,1235,160,158.5,92,2,3,43,,3780,,,,,False,○,False,,,False,,,False,2016,3,3
267,EOS Kiss X8i ボディ,49800,2420,,2560,5,1/4000〜30 秒,3,104,200,False,True,True,バリアングル液晶,510,131.9,100.7,77.8,3,4,45,,550,,,,,False,,False,,,False,,,False,2015,4,3
268,D3400 ボディ,40600,2416,,,5,1/4000〜30 秒,3,92,,False,False,False,,395,124,98,75.5,3,3,44,,1200,Bluetooth 4.1,,,,False,,False,,,False,,,False,2016,9,3
269,EOS 6D ボディ,92638,2020,,10240,4.5,1/4000〜30 秒,3,104,220,False,True,False,,680,144.5,110.5,71.2,2,4,43,,1090,,,,,False,○,True,,,False,,,False,2012,11,3
270,EOS 9000D ボディ,78800,2420,,5120,6,1/4000〜30 秒,3,104,270,False,True,True,バリアングル液晶,493,131,99.9,76.2,3,4,45,,600,Bluetooth 4.1,,,,False,,False,,,False,,,False,2017,4,3
271,PENTAX K-70 ボディ,57000,2424,,,6,1/6000〜30 秒,3,92.1,,False,True,False,バリアングル液晶,628,125.5,93,74,3,20,43,,480,,,,,False,○,False,,○,False,,,False,2016,7,3
272,PENTAX K-1 Mark II ボディ,207000,3640,,,6.4,1/8000〜30 秒,3.2,103.7,,False,True,False,フレキシブルチルト式液晶,925,136.5,110,85.5,2,20,43,,670,,,,,False,○,True,,○,True,,,False,2018,4,3
273,Df ボディ,186999,1625,,204800,5.5,1/4000〜30 秒,3.2,92,,False,False,False,,710,143.5,110,66.5,2,3,43,,1400,,,,,False,○,False,,,False,,,False,2013,11,3
274,EOS-1D X Mark II ボディ,524800,2020,,40960,16,1/8000〜30 秒,3.2,162,260,True,False,True,,1340,158,167.6,82.6,2,4,43,,1210,,,,,False,○,True,,,False,,,False,2016,4,3
275,PENTAX K-S2 レンズキット,33800,2012,,,5.5,1/6000〜30 秒,3,92.1,,False,True,False,バリアングル液晶,618,122.5,91,72.5,3,20,43,,480,,,,,True,○,False,,○,False,,,False,2015,3,3
276,D610 ボディ,93880,2426,,25600,6,1/4000〜30 秒,3.2,92,,False,False,False,,760,141,113,82,2,3,43,,900,,,,,False,○,False,,,False,,,False,2013,10,3
277,α99 II ILCA-99M2 ボディ,289680,4240,,10240,12,1/8000〜30 秒,3,122.8,490,True,True,False,3軸チルト液晶,770,142.6,104.2,76.1,2,1,27,,390,Bluetooth 4.1,,,,True,○,False,,○,True,,,False,2016,11,3
278,D810 24-120 VR レンズキット,269980,3635,,51200,6,1/8000〜30 秒,3.2,122.9,,False,False,False,,880,146,123,81.5,2,3,43,,1200,,,,,False,○,False,,,False,,,False,2015,2,3
279,D5 CF-Type ボディ,482800,2082,,3280000,14,1/8000〜30 秒,3.2,236,,True,False,True,,1240,160,158.5,92,2,3,43,,3780,,,,,False,○,False,,,False,,,False,2016,3,3
280,EOS 5Ds R ボディ,347477,5060,,1280,5,1/8000〜30 秒,3.2,104,220,False,False,False,,845,152,116.4,76.4,2,4,43,,700,,,,,False,○,False,,,False,,,False,2015,6,3
281,α77 II ILCA-77M2 ボディ,116639,2430,,5120,12,1/8000〜30 秒,3,122.8,480,False,True,False,3軸チルト液晶,647,142.6,104.2,80.9,3,1,27,,410,,,,,False,○,False,,○,False,,,False,2014,6,3
282,D3500 ボディ,53380,2416,,,5,1/4000〜30 秒,3,92,,False,False,False,,365,124,97,69.5,3,3,44,,1550,Bluetooth 4.1,,,,False,,False,,,False,,,False,2018,9,3
283,EOS Kiss X90 ボディ,46479,2410,,1280,3,1/4000〜30 秒,3,92,260,False,True,False,,427,129,101.3,77.6,3,4,45,,600,,,,,False,,False,,,False,,,False,2018,3,3
284,D7200 18-140 VR レンズキット,105000,2416,,102400,7,1/8000〜30 秒,3.2,122.9,,False,True,False,,675,135.5,106.5,76,3,3,43,,1110,,,,,False,○,False,,,False,,,False,2015,3,3
285,PENTAX K-1 ボディ,159800,3640,,,6.5,1/8000〜30 秒,3.2,103.7,,False,True,False,フレキシブルチルト式液晶,925,136.5,110,85.5,2,20,43,,760,,,,,False,○,True,,○,True,,,False,2016,4,3
286,EOS 5D Mark III ボディ,239999,2230,,10240,6,1/8000〜30 秒,3.2,104,200,False,False,False,,860,152,116.4,76.4,2,4,43,,950,,,,,False,○,False,,,False,,,False,2012,3,3
287,Df 50mm f/1.8G Special Editionキット,215398,1625,,204800,5.5,1/4000〜30 秒,3.2,92,,False,False,False,,710,143.5,110,66.5,2,3,43,,1400,,,,,False,○,False,,,False,,,False,2013,11,3
288,EOS-1D X ボディ,448999,1810,,20480,14,1/8000〜30 秒,3.2,104,290,False,False,False,,1340,158,163.6,82.7,2,4,43,,1120,,,,,False,○,False,,,False,,,False,2012,6,3
289,D810A ボディ,289980,3635,,51200,6,1/8000〜30 秒,3.2,122.9,,False,False,False,,880,146,123,81.5,2,3,43,,1200,,,,,False,,False,,,False,,,False,2015,5,3
290,D7200 18-300 VR スーパーズームキット,139800,2416,,102400,7,1/8000〜30 秒,3.2,122.9,,False,True,False,,675,135.5,106.5,76,3,3,43,,1110,,,,,False,○,False,,,False,,,False,2015,3,3
291,PENTAX 645Z ボディ,519800,5140,,,3,1/4000〜30 秒,3.2,103.7,,False,False,False,チルト式液晶,1470,156,117,123,1,20,46,,650,,,,,False,○,False,,,False,,,False,2014,6,3
292,D5500 ボディ,34980,2416,,,5,1/4000〜30 秒,3.2,104,,False,True,True,バリアングル液晶,420,124,97,70,3,3,44,,820,,,,,True,,False,,,False,,,False,2015,2,3
293,PENTAX K-3 II ボディ,54980,2435,,,8.3,1/8000〜30 秒,3.2,103.7,,False,False,False,,700,131.5,102.5,77.5,3,20,43,,720,,,,,False,○,True,,○,False,,,False,2015,5,3
294,EOS 8000D ボディ,76464,2420,,2560,5,1/4000〜30 秒,3,104,200,False,True,True,バリアングル液晶,520,131.9,100.9,77.8,3,4,45,,550,,,,,False,,False,,,False,,,False,2015,4,3
295,H6D-400C MS ボディ,6229440,,,,,1/2000〜 秒,3,92,,False,True,True,,,,,,1,21,2,,,,,,,False,,False,,,False,,,False,,,3
296,PENTAX K-3 ボディ,88172,2435,,,8.3,1/8000〜30 秒,3.2,103.7,,False,False,False,,715,131.5,100,77.5,3,20,43,,720,,,,,False,○,False,,○,False,,,False,2013,11,3
297,D7000 ボディ,58800,1620,,25600,6,1/8000〜30 秒,3,92,,False,False,False,,690,132,105,77,3,3,43,,1050,,,,,False,○,False,,,False,,,False,2010,10,3
298,EOS 70D ボディ,94824,2020,,2560,7,1/8000〜30 秒,3,104,230,False,True,True,バリアングル液晶,675,139,104.3,78.5,3,4,43,,1300,,,,,False,○,False,,,False,,,False,2013,8,3
299,EOS Kiss X7 ダブルレンズキット 2,85802,1800,,2560,4,1/4000〜30 秒,3,104,160,False,False,True,,373,116.8,90.7,69.4,3,4,45,,480,,,,,False,,False,,,False,,,False,2014,5,3
300,PENTAX K-1 Limited Silver,195000,3640,,,6.5,1/8000～30 秒,3.2,103.7,,False,True,False,フレキシブルチルト式液晶,925,136.5,110,85.5,2,20,43,,760,,,,,False,○,True,,○,True,,,False,2017,9,3
301,D810 24-85 VR レンズキット,234888,3635,,51200,6,1/8000〜30 秒,3.2,122.9,,False,False,False,,880,146,123,81.5,2,3,43,,1200,,,,,False,○,False,,,False,,,False,2014,7,3
302,EOS 5Ds ボディ,415000,5060,,1280,5,1/8000〜30 秒,3.2,104,220,False,False,False,,845,152,116.4,76.4,2,4,43,,700,,,,,False,○,False,,,False,,,False,2015,6,3
303,EOS Kiss X80 ボディ,29780,1800,,1280,3,1/4000〜30 秒,3,92,190,False,True,False,,440,129,101.3,77.6,3,4,45,,600,,,,,False,,False,,,False,,,False,2016,4,3
304,PENTAX K-50 18-135WRキット,53000,1628,,,6,1/6000〜30 秒,3,92.1,,False,False,False,,590,129,96.5,70,3,20,43,,1250,,,,,False,○,False,,○,False,,,False,2013,7,3
305,PENTAX K-5 II s ボディ,69800,1628,,5120,7,1/8000〜30 秒,3,92.1,,False,False,False,,680,131,97,72.5,3,20,43,,980,,,,,False,○,False,,○,False,,,False,2012,10,3
306,D4S ボディ,488000,1623,,409600,11,1/8000〜30 秒,3.2,92,,False,False,False,,1180,160,156.5,90.5,2,3,43,,3020,,,,,False,○,False,,,False,,,False,2014,3,3
307,D7100 ボディ,36980,2410,,25600,7,1/8000〜30 秒,3.2,122.9,,False,False,False,,675,135.5,106.5,76,3,3,43,,950,,,,,False,○,False,,,False,,,False,2013,3,3
308,EOS Kiss X7i ボディ,52980,1800,,2560,5,1/4000〜30 秒,3,104,200,False,False,True,バリアングル液晶,525,133.1,99.8,78.8,3,4,45,,550,,,,,False,,False,,,False,,,False,2013,4,3
309,EOS Kiss X70 ボディ,54864,1800,,1280,3,1/4000〜30 秒,3,46,190,False,False,False,,435,129.6,99.7,77.9,3,4,45,,600,,,,,False,,False,,,False,,,False,2014,3,3
310,H6D-100c ボディ,4501440,,,,,1/2000〜 秒,3,92,,True,True,True,,,,,,1,21,2,,,,,,,False,,False,,,False,,,False,,,3
311,PENTAX K-S1 ボディ,80000,2012,,,5.4,1/6000〜30 秒,3,92.1,,False,False,False,,498,120,92.5,69.5,3,20,43,,480,,,,,False,,False,,○,False,,,False,2014,9,3
312,D800E ボディ,213000,3630,,25600,5,1/8000〜30 秒,3.2,92,,False,False,False,,900,146,123,81.5,2,3,43,,900,,,,,False,○,False,,,False,,,False,2012,4,3
313,PENTAX K-30 ボディ,19880,1628,,2560,6,1/6000〜30 秒,3,92.1,,False,False,False,,590,128.5,96.5,71.5,3,20,43,,480,,,,,False,○,False,,○,False,,,False,2012,6,3
314,EOS Kiss X7 ダブルレンズキット,71500,1800,,2560,4,1/4000〜30 秒,3,104,160,False,False,True,,373,116.8,90.7,69.4,3,4,45,,480,,,,,False,,False,,,False,,,False,2013,11,3
315,Mamiya ZD ボディ,1382400,2150,,,1.2,1/4000〜30 秒,1.8,13,,False,False,False,,1200,161.5,152,90.8,1,22,43,,,,,,,False,,False,,,False,,,False,,,3
316,PENTAX K-5 II ボディ,27380,1628,,5120,7,1/8000〜30 秒,3,92.1,,False,False,False,,680,131,97,72.5,3,20,43,,980,,,,,False,○,False,,○,False,,,False,2012,10,3
317,SD1 ボディ,330000,4600,,,6,1/8000〜30 秒,3,46,,False,False,False,,700,145.5,113.5,80,3,13,43,,,,,,,False,○,False,,,False,,,False,2011,6,3